Zeitstempel,Ertrag_kWh
2025-04-09,3.2136985536532947
2025-04-12,0.3138362756559584
2025-04-30,6.024147060426079
2025-05-07,6.594094867744457
2025-05-09,1.5520684976238672
2025-05-13,0.006868104310838633
2025-05-14,6.236166650543212
2025-05-15,22.194192509405344
2025-05-28,1.1127458718416425
2025-06-06,0.0037283353212144636
2025-06-11,7.779582856809826
2025-11-28,48.14172670246139
2025-11-29,4.884831814427257
2025-11-30,31.08703545512106
2025-12-01,2.705908881329407
2025-12-02,3.798276737120231
2025-12-03,1.9419850890946058
2025-12-04,1.5457412828699384
2025-12-05,1.8303166307048215
2025-12-06,11.193585839017954
2025-12-07,2.8182543445971735
2025-12-08,3.572702751295486
2026-01-27,27.01956637761015
2026-01-28,29.927073436083298
2026-01-29,0.2971262093155914
2026-01-30,0.5751834654045106
